iter	F1	Logloss
0	0.8952777268	0.6297761253
1	0.8952777268	0.579829388
2	0.8977935597	0.530793837
3	0.8985046987	0.5012602826
4	0.8977935597	0.4821712696
5	0.8977935597	0.4620754719
6	0.8970942788	0.4439590512
7	0.8993396695	0.431215951
8	0.8970490151	0.418511523
9	0.9013429765	0.4099114606
10	0.8970490151	0.4046190729
11	0.8995098838	0.3974478673
12	0.900633158	0.3920858589
13	0.9000482872	0.3882010632
14	0.9000482872	0.3849019277
15	0.9014627886	0.3794889797
16	0.9000064483	0.3766096643
17	0.9000482872	0.3749053928
18	0.8999224218	0.3732603738
19	0.8999224218	0.3706974604
20	0.8978298147	0.3675145786
21	0.8992538532	0.3660176698
22	0.8992538532	0.3640059954
23	0.8992538532	0.3630848547
24	0.8992538532	0.362282351
25	0.8992538532	0.3596700885
26	0.8992538532	0.3579538416
27	0.8992538532	0.3562507304
28	0.8992538532	0.3554393098
29	0.8992538532	0.3545266504
30	0.8992538532	0.3525875443
31	0.9006742166	0.3519296643
32	0.9006742166	0.3507213116
33	0.8999644934	0.3491032565
34	0.9020127302	0.3486297208
35	0.9013830246	0.3469180168
36	0.9020518789	0.3455066698
37	0.9013429765	0.3452970697
38	0.9013429765	0.3438329118
39	0.9026834801	0.3431897388
40	0.9026834801	0.342443846
41	0.9026834801	0.3416785985
42	0.9026834801	0.3414322161
43	0.9026834801	0.3409950545
44	0.9026834801	0.3398039557
45	0.901302817	0.3391812705
46	0.901302817	0.3387026268
47	0.9033552282	0.338320769
48	0.9033177825	0.3369199301
49	0.9033177825	0.336759329
50	0.9033177825	0.3362412651
51	0.9033177825	0.3358599172
52	0.904630383	0.3352453566
53	0.9053069731	0.3349575698
54	0.9053417775	0.3341830275
55	0.9046661054	0.3336830527
56	0.9060522485	0.3331729225
57	0.9053764848	0.332594405
58	0.9060522485	0.3316211021
59	0.9060522485	0.3308324339
60	0.9067290217	0.3298306259
61	0.9067290217	0.3293312845
62	0.9074068067	0.3284310721
63	0.9074068067	0.3277369915
64	0.9074386614	0.3269830121
65	0.9081165363	0.3266633522
66	0.9087654212	0.3257476214
67	0.9066961539	0.3241783197
68	0.9087051615	0.323379112
69	0.9073748628	0.3224221728
70	0.9087954247	0.3216198833
71	0.9095332329	0.3209014141
72	0.9087954247	0.3203667534
73	0.9087654212	0.319417985
74	0.9087654212	0.3180202773
75	0.9094171	0.3168639623
76	0.9094462552	0.3164887698
77	0.9094462552	0.3153650626
78	0.9094753289	0.3143690789
79	0.9094462552	0.313559853
80	0.9095043213	0.3127485093
