iter	Passed	Remaining
0	38	1103
1	82	1150
2	120	1081
3	148	966
4	176	882
5	223	895
6	264	870
7	305	839
8	342	800
9	384	769
10	423	730
11	460	690
12	498	651
13	536	613
14	574	574
15	615	538
16	654	500
17	690	460
18	728	421
19	764	382
20	800	343
21	836	304
22	876	266
23	914	228
24	953	190
25	991	152
26	1031	114
27	1070	76
28	1105	38
29	1143	0
